Date,Open,High,Low,Close,Volume
24-Feb-11,88.5,91.17,87.65,88.91,6686470
25-Feb-11,91.84,92,90.41,90.49,6145035
28-Feb-11,91.64,91.74,89.93,90.15,5112786
1-Mar-11,90.75,91,88.33,89.06,5467889
2-Mar-11,88.76,90.67,88.7,89.55,4184977
3-Mar-11,90.87,93.16,90.43,92.63,4847670
4-Mar-11,92.73,93.06,91.11,92.35,3611636
7-Mar-11,92.91,93.15,89.94,90.37,4207863
8-Mar-11,90.58,92.1,88.9,91.51,4184256
9-Mar-11,90.42,90.64,89,89.82,4703333
10-Mar-11,88.01,89,86.1,87.55,5690586
11-Mar-11,85.88,88,84.59,87.79,6211240
14-Mar-11,87.72,88.13,86.44,87.63,3922647
15-Mar-11,84.9,88.03,84.27,87.68,4662465
16-Mar-11,87.89,88.91,85.99,86.91,5505028
17-Mar-11,88.75,90.26,88,89.38,5871298
18-Mar-11,91.08,91.48,89.67,90.1,5317306
21-Mar-11,91.48,92.46,91.36,91.61,4475022
22-Mar-11,91.77,91.77,90.16,91.05,3615361
23-Mar-11,90.75,91.57,90.12,91.43,3153891
24-Mar-11,92.09,93.39,91.25,93.23,3765228
25-Mar-11,93.4,94.94,92.7,94.24,3957644
28-Mar-11,94.67,94.98,93.27,93.3,3363288
29-Mar-11,93.22,94.02,91.75,93.95,4336627
30-Mar-11,94.8,94.92,93.88,94.45,3355634
31-Mar-11,94.73,96.98,94.65,96.89,6144607
1-Apr-11,97.6,99.8,97.54,98.6,6496318
4-Apr-11,99.04,99.54,98.52,99.24,2975609
5-Apr-11,98.92,99.06,97.98,98.21,3152819
6-Apr-11,98.66,98.66,96.51,97.01,3613574
7-Apr-11,96.67,98.12,96.05,96.47,3674971
8-Apr-11,97.08,97.67,95.13,95.93,3022100
11-Apr-11,95.9,96.18,94.71,94.99,3616680
12-Apr-11,94.07,94.29,92.86,93.45,4040157
13-Apr-11,94.57,94.71,92.69,93.58,2817510
14-Apr-11,92.94,94.37,92.61,94.25,2815454
15-Apr-11,94.32,94.49,93.19,93.76,3986941
18-Apr-11,92.53,92.53,90.65,91.53,4720476
19-Apr-11,92.35,92.58,91.03,92.38,3776354
20-Apr-11,94.48,94.64,93.39,93.89,3692583
21-Apr-11,95.25,95.25,95.25,95.25,0
25-Apr-11,95.2,95.5,94.2,94.72,1945532
26-Apr-11,96.54,97.78,96.03,97,4764780
27-Apr-11,97.08,97.26,94.65,96.76,3510847
28-Apr-11,96.41,96.84,95.46,95.91,2668998
29-Apr-11,96.8,97.55,95.87,97.5,3857216
2-May-11,98.22,98.3,96.87,97.39,4283160
3-May-11,97.28,97.28,94.79,94.98,4147114
4-May-11,95.06,95.5,91.72,93.03,4681034
5-May-11,91.94,93.08,91,91.54,4619626
6-May-11,93.52,94.17,91.51,91.53,5196194
9-May-11,91.59,93.54,91.54,92.8,3256343
10-May-11,93.71,94.61,93.32,94.49,3601240
11-May-11,93.78,93.94,90.81,91.29,6540741
12-May-11,90.81,91.18,89.1,90.36,4658223
13-May-11,90.28,90.59,87.57,87.72,6758714
16-May-11,87.33,89.45,86.63,88.13,4937381
17-May-11,87.3,88.1,86.16,86.96,6068615
18-May-11,86,86.67,84.65,86.5,12672004
19-May-11,86.86,87.73,85.88,86.04,7206616
20-May-11,85.75,85.95,84.27,84.75,5999796
23-May-11,83.02,83.47,82.25,83.06,6546800
24-May-11,83.8,84.76,83.42,83.45,5391782
25-May-11,83.49,85.14,82.51,84.71,4635661
26-May-11,84.61,85.3,84,84.94,3938543
27-May-11,85.74,85.74,85.74,85.74,0
31-May-11,87.06,87.15,85.05,86.08,4737299
1-Jun-11,85.5,85.89,82.73,82.76,5797325
2-Jun-11,83.45,84.68,83.17,84.23,6042703
3-Jun-11,82.31,83.65,81.52,82.2,5354746
6-Jun-11,82.12,82.73,81.34,81.7,3897858
7-Jun-11,82.25,82.29,81.1,81.21,3684640
8-Jun-11,80.98,81.2,79.61,79.96,6613237
9-Jun-11,81.23,82.79,80.87,82,6937509
10-Jun-11,81.78,82.51,80.75,81.8,6787134
13-Jun-11,81.67,82.14,79.77,80.2,4821502
14-Jun-11,81.55,82.66,80.9,82,4484874
15-Jun-11,81.36,82.18,80.09,80.21,4538246
16-Jun-11,80.1,80.84,78.23,79.27,5510531
17-Jun-11,80.48,80.53,78.3,78.53,5972507
20-Jun-11,78.28,80.09,77.81,80.06,4329004
21-Jun-11,80.69,82.44,80.3,82.13,4299825
22-Jun-11,82.19,83,81.5,81.57,4885633
23-Jun-11,79.85,81.84,78.8,81.73,5785469
24-Jun-11,81.66,81.7,79.78,79.98,4672971
27-Jun-11,80.15,81.06,79.96,80.69,3177440
28-Jun-11,80.84,82,80.5,81.95,3153729
29-Jun-11,82.59,82.99,81.78,82.43,6328726
